순번,도서명,저자,발행처,발행년
149,오국사기.1:두 천하,이덕일 지음,김영사,2002
150,오국사기.2:충돌,이덕일 지음,김영사,2002
151,오국사기.3:해원,이덕일 지음,김영사,2002
152,사회주의의 장래,김규택 외 지음,일조각,1990
153,(톨스토이)인생독본,레프 니콜라예비치 톨스토이 지음;신윤표 옮김,산수야,2004
154,한국의 여류한시,김지용 옮김,여강출판사,1991
155,미시경제학,기원달;이용욱 공저,삼영사,1992
156,커뮤니케이션학개론.(하),차배근 저,세영사,1991
157,(조선왕조실록)왕과 비들.1:수양 단종 지옥도,박광호 지음,이화문화출판사,1999
158,(조선왕조실록)왕과 비들.2:대왕의 꼭두놀이,박광호 지음,이화문화출판사,1999
159,(조선왕조실록)왕과 비들.5:임금도 울고 싶어라,박광호 지음,이화문화출판사,1999
160,의창산책,김일용 저,시방,2003
161,신 청소년 문화론,정하성;유진이 공저,21세기사,2010
162,춘원 이광수의 시연구,김유선 저,경운출판사,1995
163,인문 고전 강의:오래된 지식 새로운 지혜,강유원 지음,라티오,2011
164,디지탈기술입문,Dan I. Porat;Arpad Barna 공저;차서욱 역,가남사,1986
165,변혁의 순간을 잡아라,리처드 닉슨 저;이경일 역,한국경제신문사,1992
166,보호계전 시스템기술,신대승 편저,기다리,2007
167,배관설계강좌,배관기술연구회 편,기전연구사,1993
168,합성수지가공기계조합 15년사:1991~2995,한국합성수지가공기계공업협동조합 편,한국합성수지가공기계공업협동조합,2006
169,(Venus 중·고)학습 백과 대사전.1:국어,금성출판사편집부 편,금성출판사,1997
170,(Venus 중·고)학습 백과 대사전.2:영어,금성출판사편집부 편,금성출판사,1997
171,(Venus 중·고)학습 백과 대사전.3:수학,금성출판사편집부 편,금성출판사,1997
172,(Venus 중·고)학습 백과 대사전.4:한국의 지리와 역사,금성출판사편집부 편,금성출판사,1997
173,(Venus 중·고)학습 백과 대사전.5:세계의 지리,금성출판사편집부 편,금성출판사,1997
174,(Venus 중·고)학습 백과 대사전.7:사회,금성출판사편집부 편,금성출판사,1997
175,(Venus 중·고)학습 백과 대사전.8:화학,금성출판사편집부 편,금성출판사,1997
176,(Venus 중·고)학습 백과 대사전.9:물리,금성출판사편집부 편,금성출판사,1997
177,(Venus 중·고)학습 백과 대사전.10:식물의 세계,금성출판사편집부 편,금성출판사,1997
178,(Venus 중·고)학습 백과 대사전.11:동물의 세계,금성출판사편집부 편,금성출판사,1997
179,(Venus 중·고)학습 백과 대사전.12:생활과 환경,금성출판사편집부 편,금성출판사,1997
180,(Venus 중·고)학습 백과 대사전.13:지구 · 우주,금성출판사편집부 편,금성출판사,1997
181,(Venus 중·고)학습 백과 대사전.14:미술 · 기술 · 가정,금성출판사편집부 편,금성출판사,1997
182,(Venus 중·고)학습 백과 대사전.15:음악 · 보건체육,금성출판사편집부 편,금성출판사,1997
183,(Venus 중·고)학습 백과 대사전.16:교과 활용 사전,금성출판사편집부 편,금성출판사,1997
184,한국세계대백과사전.1:ㄱ - 거품,동서문화편집부 편,동서문화사,1995
185,한국세계대백과사전.2:거품 - 곤곡,동서문화편집부 편,동서문화사,1995
186,한국세계대백과사전.3:곤다 - 국가,동서문화편집부 편,동서문화사,1995
187,한국세계대백과사전.4:국가 - 금소,동서문화편집부 편,동서문화사,1995
188,한국세계대백과사전.5:금속 - 남바,동서문화편집부 편,동서문화사,1995
189,한국세계대백과사전.6:남반 - 단결,동서문화편집부 편,동서문화사,1995
190,한국세계대백과사전.7:단결 - 도척,동서문화편집부 편,동서문화사,1995
191,한국세계대백과사전.8:도철 - 레온,동서문화편집부 편,동서문화사,1995
192,한국세계대백과사전.9:레온 - 멕시,동서문화편집부 편,동서문화사,1995
193,한국세계대백과사전.10:멕시 - 바다,동서문화편집부 편,동서문화사,1995
194,한국세계대백과사전.11:바다 - 벽란,동서문화편집부 편,동서문화사,1995
195,한국세계대백과사전.12:벽립 - 브르,동서문화편집부 편,동서문화사,1995
196,한국세계대백과사전.13:브르 - 상대,동서문화편집부 편,동서문화사,1995
197,한국세계대백과사전.14:상대 - 센생,동서문화편집부 편,동서문화사,1995
198,한국세계대백과사전.15:센서 - 스타,동서문화편집부 편,동서문화사,1995
199,한국세계대백과사전.16:스타 - 씻김,동서문화편집부 편,동서문화사,1995
200,한국세계대백과사전.17:ㅇ - 앙겔,동서문화편집부 편,동서문화사,1995
201,한국세계대백과사전.18:앙겔 - 연소,동서문화편집부 편,동서문화사,1995
202,한국세계대백과사전.19:연소 - 왕다,동서문화편집부 편,동서문화사,1995
203,한국세계대백과사전.20:왕달 - 유선,동서문화편집부 편,동서문화사,1995
204,한국세계대백과사전.21:유선 - 이줄,동서문화편집부 편,동서문화사,1995
205,한국세계대백과사전.22:이중 - 자비,동서문화편집부 편,동서문화사,1995
206,한국세계대백과사전.23:자비 - 접목,동서문화편집부 편,동서문화사,1995
207,한국세계대백과사전.24:접미 - 주금,동서문화편집부 편,동서문화사,1995
208,한국세계대백과사전.25:주금 - 찜통,동서문화편집부 편,동서문화사,1995
209,한국세계대백과사전.26:ㅊ - 카벨,동서문화편집부 편,동서문화사,1995
210,한국세계대백과사전.27:카보 - 태양,동서문화편집부 편,동서문화사,1995
211,한국세계대백과사전.28:태양 - 폴라,동서문화편집부 편,동서문화사,1995
